Year,Organisation,Critical Industry,Organisation size,Level of digital intensity,Sector,Country,Cyber security role,Cyber security frameworks,Education and awareness policy,Policy,"Prevention, Detection and Recovery",Improper network segmentation,Inappropriate remote access,Absence of encryption,Detector,Restructuring after attack,Bribe/ransom paid,Free identity or credit theft monitoring,Additional disclosure of information,Number of users affected,Overall nature of attack,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Individual(s) name(s) leaked/exposed,Address(es) leaked/exposed,Other personally identifiable information (PII) leaked/exposed,Track 1 - Credit card details leaked/exposed,Track 2 - Credit card details leaked/exposed,Social security number/tax number leaked/exposed,Subsequent fraudulent use of data,Investigation,Undertook investigation,Litigation by public,Penalties/settlement paid or actions imposed,Imposed penalties or actions on organisation,Fines issued by government or relevant body,Settlement paid,Effect on share price,Summary,
2010,Thrivent Financial for Lutherans,Yes,NA,High,Finance and insurance,USA,No,No,No,Yes,Low,No,No,No,Organisation,NA,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical device stolen,
2018,TicketFly,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,27000000,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2018,TicketMaster,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,Yes,No,Yes,Low,NA,No,Yes,Credit card/bank,NA,No,Yes,Yes,11540000,Type 1,Installed malware,External,Vendor vulnerability,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,Yes,No,Yes,No,No,No,No,NA,Malware installed on vendor code even though organisation modified code,
2016,Time Warner Cable,Yes,NA,High,Telecommunications,USA,No,No,No,Yes,Low,NA,NA,NA,Federal Agency,Yes,No,No,No,320000,Type 2,NA,External,Social engineering,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown attack but considered to be a result of phishing campaign,
2006,TJX Companies Inc,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,No,No,Yes,Low,Yes,No,Yes,Organisation,NA,No,Yes,Yes,94000000,Type 1,Installed malware,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,?,Wireless local area networks were used to gain access to the system to install malware.,
2013,"TLO, LLC",No,NA,High,Advertising and other business services,USA,No,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,Yes,No,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2020,Toll,Yes,Large,Low,Transportation storage,Australia,Yes,No,No,NA,High,Yes,Yes,Yes,Organisation,Yes,No,NA,Yes,Missing,Type 1,Installed malware,External,NA,High,Availability,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Ransomware ,
2017,Tommie copper inc,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,NA,NA,NA,Credit card/bank,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed on website,
2013,Tomren Wealth Management,Yes,Small,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Spamming software installed,
2016,Topps,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,NA,NA,NA,Public,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2017,Torrance Memorial Medical Center,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Phishing attack,
2017,Toscano Clements Taylor,No,Medium,High,Legal and accounting activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Phishing attack,
2012,Towards Employment,No,NA,High,Administrative and support service,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,26000,Type 3,Physical Theft,External,Physical device,High,Confidentiality,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2018,Toyota industries north America inc,Yes,Large,Medium-High,Machine equipment,USA,No,No,No,Yes,Medium,Yes,No,NA,Organisation,Yes,No,Yes,Yes,19000,Type 2,Misuse of resources,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Email system was accessed,
2017,Trade motion,Yes,Medium,Medium-High,Machine equipment,USA,No,No,No,Yes,High,Yes,Yes,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Insufficient authentication validation,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Vulnerability was exploited combined with compromised account credentials,
2018,Transamerica retirement solutions LLC,No,Large,Low-Medium,Residential care and social work activities,USA,Yes,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Insufficient authentication validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access (credential stuffing) / caused by potentially another data breach,
2018,Travis Credit Union,Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Physical device,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Skimming device placed on drive-up ATM,
2018,"Travis mathew,  LLC",No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,NA,NA,NA,Public,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2011,TripAdvisor,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,No,Yes,Missing,Type 2,Misuse of resources,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown vulnerability (likely considered SQL injection),
2017,TRUEbenefits LLC,Yes,Small,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2016,Trump Hotels,No,Large,Low,Accommodation and food service activities,USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Vendor vulnerability,High,Confidentiality,Yes,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Malware installed on PoS,
2005,Tufts University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,NA,No,No,Yes,106000,Type 2,NA,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Server attack that was managed by a third party,
2015,TuneCore,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,No,Missing,NA,NA,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2016,Turkey Government,Yes,NA,Medium-High,Public administration and defence,Turkey,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,No,49611709,Type 2,Misuse of resources,External,Unknown network attack,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Unknown attack resulting in data breach,
2017,"Tween Brands, Inc.",No,Large,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Medium,Yes,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,Unknown network attack,Low,Confidentiality,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Attack on web server,
2014,Twitch.tv,No,NA,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2013,Twitter,Yes,Large,High,IT and other information services,Global,Yes,No,No,Yes,Medium,Yes,No,NA,Organisation,Yes,No,No,Yes,250000,Type 2,Misuse of resources,External,Unknown network attack,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,"Unknown attack involving unusual network patterns, etc",
2016,U.S HealthWorks,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,No,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen with password written on it,
2005,U.S. Air Force,Yes,Large,Medium-High,Public administration and defence,USA,Yes,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,NA,Yes,33000,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Used an authorised user's login,
2006,U.S. Department of Agriculture,Yes,Large,Medium-High,Public administration and defence,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,26000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2013,U.S. Department of Energy,Yes,Large,Medium-High,Public administration and defence,USA,Yes,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,No,No,104000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,System was attacked,
2005,U.S. Department of Veterans Affairs,Yes,Large,Medium-High,Public administration and defence,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,NA,No,26500000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Employee took home laptop and was stolen,
2016,Uber,Yes,Large,Low,Transportation storage,USA,No,No,No,Yes,Medium,NA,Yes,NA,Organisation,Yes,Yes,Yes,Yes,57600000,Type 2,NA,External,Insufficient authentication validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,NA,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Unauthorised access,
2013,UbiSoft,No,Large,Medium-High,"Arts, entertainment and recreation",France,No,No,No,Yes,Medium,NA,No,No,Organisation,Yes,No,No,Yes,Missing,Type 2,Misuse of resources,External,Unknown network attack,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No change,Unknown attack resulting in accounts hijacked,
2013,Ubuntu,Yes,NA,High,IT and other information services,Global,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,1800000,Type 4,Web compromise,External,Insufficient input validation,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,SQL injection into forums,
2014,Ullico Inc.,No,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,46771,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical theft and lack of encryption on laptop,
2016,Ullrich Delevati,No,Medium,High,Legal and accounting activities,USA,No,No,No,Yes,Medium,NA,No,No,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,NA,Unknown,
2017,UNC Health Care System,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,No,24000,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical device stolen ,
2017,Unified trust company n a,Yes,Medium,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Suspicious activity within an employee's email account,
2019,Union Labor Life Insurance Company,No,Large,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,No,87400,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack ,
2006,Union Pacific,Yes,NA,Low,Transportation storage,USA,No,No,No,NA,Low,No,No,Yes,Organisation,NA,No,NA,NA,Missing,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,NA,Device stolen,
2012,Unique Vintage,No,Medium,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Malware installed on website,
2015,United Airlines,Yes,Large,Low,Transportation storage,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,NA,NA,Missing,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,?,Unknown,
2013,"United HomeCare Services, Inc.",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,13617,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Laptop stolen with no encryption,
2018,UnityPoint Health,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,Yes,No,Organisation,Yes,No,No,No,1400000,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,NA,Phishing attack,
2017,Universal Care,Yes,NA,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,No,14000,Type 2,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Third party vendor system was hacked,
2011,Universal Music,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,No,No,Missing,Type 4,Web compromise,External,Unknown network attack,High,Availability,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Accessed data through website,
2015,"University California, Berkeley",No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,80000,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Addressed a flaw that had yet to be patched,
2016,University Gastroenterology,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,No,Missing,Type 1,Installed malware,External,Unknown network attack,High,Availability,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware,
2018,University of Alaska,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Insufficient authentication validation,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Passwords changed by unauthorised user,
2005,University of California,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,NA,No,No,Yes,800000,Type 2,NA,External,Insufficient input validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Suspicious search queries,
2006,University of California at Los Angeles (UCLA),No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Low,No,No,No,Organisation,NA,No,No,No,800000,Type 2,Misuse of resources,External,Insufficient input validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Exploited  vulnerability in website,
2017,University of California Davis Health,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,No,15000,Type 2,Misuse of resources,External,Social engineering,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,NA,Phishing attack,
2014,University of California San Francisco,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,9986,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical theft and unencrypted computer,
2013,University of California San Francisco Medical Center (UCSF),Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,8294,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2014,"University of California, Berkeley",No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,No,Yes,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Server was accessed without authorisation,
2009,"University of California, Berkeley",No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Low,NA,No,NA,Organisation,No,No,No,Yes,160000,Type 4,Web compromise,External,Insufficient input validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Website was hacked and used to gain access to database,
2005,"University of California, Berkeley",No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,NA,Yes,98000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Laptop was stolen,
2015,"University of California, Los Angeles Health",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2015,"University of California, Riverside Graduate Division offices",No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,No,No,NA,Organisation,No,No,Yes,No,8000,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2007,"University of California, San Francisco (UCSF)",No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,No,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown attack,
2016,University of Central Florida,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,No,Yes,63000,NA,NA,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2005,"University of Colorado, Boulder",No,Large,Low-Medium,Education,USA,Yes,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,NA,Yes,49000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Series of computer breaches on a server ,
2015,University of Connecticut,No,Medium,Low-Medium,Education,USA,Yes,No,No,Yes,Medium,Yes,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Malware installed,
2005,University of Connecticut,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,No,No,72000,Type 1,Installed malware,External,Unknown device attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Malware installed,
2010,University of Connecticut West Hartford,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,No,10174,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop was taken from a storage cabinet,
2013,University of Delaware,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,72000,Type 4,Web compromise,External,Insufficient input validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Attackers exposed Security flaw in Web-based software,
2009,University of Florida,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,NA,NA,97000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2012,University of Georgia (UGA),No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,Yes,No,Organisation,Yes,No,Yes,Yes,8500,Type 2,Misuse of resources,External,Insufficient authentication validation,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Hackers reset two account passwords gaining access to data,
2015,University of Illinois at Chicago,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,No,Missing,NA,NA,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2014,University of Maryland,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,309079,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2008,University of Miami,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,No,Yes,2000000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Tapes stolen,
2007,University of Missouri,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,Yes,Yes,Yes,Organisation,NA,No,No,Yes,22396,Type 4,Web compromise,External,Insufficient input validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Help Desk web page was compromised giving access to data,
2009,"University of North Carolina, Chapel Hill",No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,163000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2010,University of North Florida,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,106884,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2012,University of North Florida,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,Yes,No,23246,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2006,University of Notre Dame,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,NA,Missing,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,NA,NA,No,No,No,No,No,No,No,No,No,NA,Unknown,
2015,University of Oklahoma Department of Urology,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,9300,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical device stolen,
2015,"University of Oklahoma, Department of Obstetrics  Gynaecology",Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,7693,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Physical device stolen ,
2006,University of Texas McCombs  School of Business,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,Yes,Yes,Yes,Organisation,NA,No,No,Yes,197000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2008,University of Utah Hospitals & Clinics,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,2200000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Physical theft of tapes,
2015,University of Virginia,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,No,No,Organisation,Yes,No,Yes,No,Missing,Type 2,Misuse of resources,External,Social engineering,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Phishing attack,
2011,University of Wisconsin - Milwaukee,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,NA,No,NA,Organisation,Yes,No,Yes,Yes,75000,Type 1,Installed malware,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Malware installed,
2014,University Pittsburgh Medical Center,Yes,Large,Low-Medium,Human health activities,USA,Yes,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,27000,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,NA,Unknown attack,
2018,Uno alla volta LLC,No,Medium,Medium-High,"Wholesale, retail trade and repair",Canada,No,No,No,Yes,Low,Yes,No,Yes,Public,Yes,No,Yes,Yes,Missing,Type 4,Web compromise,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Malicious code installed,
2014,UPS,Yes,Large,Low,Transportation storage,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Malware installed,
